Courant dans une electrode de troisième espèce,"i = n • S • F • Vs = ia + ic
Vs = Vox - Vred
ia : anions
ic : cations"
Courant limite pour une espece electroactive,"i = n • F • S • D • C / delta

Ou D est le coefficient de diffusion, C la concentration et delta l’epaisseur de la couche de diffusion"
Rendement faradique pour une electrolyse,"rho = iu / i = n • F • m/ (t • M • i)
Ou iu est l’intensité utile pour l’electrolyse
Ou m est la masse de solide formé, M sa masse molaire, t la durée de l’electrolyse et n le nb d’electrons échangés"
Tension a imposer pour une electrolyse,"u = (Ean - Ecn) + (ethaa - ethac) + r • i

Ou r est la résistance interne de la pile"
Tension d’une pile,"u = (Ecn - Ean) + (ethac - ethaa) - r • i

Ou r est la résistance interne de la pile"
