Champ magnetique dans une bobine longue,"B = mu0 • n • i
Avec mu0 la permeabilite du vide (constante magnetique)
n le nombre de spires par unité de longueur"
Couple magnetique reçu par un circuit ou aimant dans un champ magnétique exterieur uniforme,vec(GammaL) = vec(M) ^ vec(B)
Force de Laplace élémentaire,"vec(dfL) = i • vec(dl) ^ vec(B)
vec(dl) est dans le sens positif de i"
Moment magnétique d’une boucle de courant plane,vec(M) = i • vec(S)
Ordre de grandeurs champ magnétique,"Terrestre : 4,7 • 10^{-5} T
Aimant usuel : 0,1 a 1 T
IRM : 5 T"
Permeabilite du vide (constante magnétique),nu0 = 4 • pi • 10^{-7} H • m^{-1}
