Base pour activation nucleophile d’alcools et phenols,"Hydrure de sodium (NaH)
—> degagement de H2
Diisopropilamidure de lithium (LDA)
—> nucleophile faible"
Reactifs activation electrophile alcools,"A/B : acide sulfurique (H2SO4)

Sulfonation : chlorure d’acide sulfonique : chlorure de tosyle (TsCl) / solvant aprotique / Base : pyridine (py), triethylamine (Et3N)"
Réactif pour proteger et deproteger un alcool,"Protection : Chlorure de benzyle (BnCl)
Deprotection : H2, paladium sur charbon (Pd/C)"
Solvant pour activation nucleophile des alcools et phenols,"Alcool : lui meme ou polaire aprotique : dimethylesulfoxyde (DMSO)

Phenol : eau"
