a point critique de f,f est derivable en a et : f’(a) = 0
Corollaire de l’inégalité des accroissements finis,"- f derivable sur I
- il existe M in R tels que
|f’(x)| =< M

alors f est M-lipschitzienne :
Pour tout x, y in I,
|f(x) - f(y)| =< M|x - y|"
Inégalité des accroissements finis,"- f derivable sur I
- il existe m, M in R tels que 

    m =< f’ =< M

Pour tout x, y in I, x > y,
m(x - y) =< f(x) - f(y) =< M(x - y)"
Théorème de la limite de la dérivée,"- a in I
- f continue sur I et dérivable sur I \ {a}
- lim(a)(f’) = l 
l in R union {+- infini}

lim(x —> a)(f(x) - f(a)) / (x - a) = l"
Théorème de Rolle,"- a, b in R, a < b
- f continue sur [a, b], dérivable sur ]a, b[
- f(a) = f(b)

Il existe c in ]a, b[ tel que f’(c) = 0"
Égalité des accroissements finis ,"- a, b in R, a < b
- f continue sur [a, b], 

dérivable sur ]a, b[

Il existe c in ]a, b[ tel que :
f’(c) = (f(b) - f(a)) / (b - a)"
