Convention atomique frontière soluté/soluté ,"Espèces: R1Mx et R2My
- Concentration totale en M egale a Ct: 
x • [R1Mx] + y • [R2My] = Ct

- Quantité d’éléments M sous les deux forme egale:
x • [R1Mx] = y • [R2My]"
Eau aéré et désaéré,"Aérée : contient du dioxygène dissous à prendre en compte comme réactif
—> les especes stables sont celles qui partagent leur domaine avec l’eau ET avec l’O2

Désaéré/désoxygénée : eau dont on a chassé de dioxygène"
Titrage des ions I3-,"Dosage par thisulfate (S2O3^{2-})
Indicateur : thidène"
