Catalyseur pour une hydrogenation,"Hétérogène :
- Pd dispersé sur C
- Platine colloïdal
- Nickel de Raney

Homogène :
- catalyseur de Wilkinson"
Epoxydation,
Hydratation (Markovnikov),
Hydroboration (anti-Markovnikov),
Règle de Markovnikov,"Lors de l'addition sur une double liaison carbone-carbone, le produit majoritaire est celui issu du carbocation le plus stable formé lors de l'étape cinétiquement déterminante d'addition électrophile"
Étapes de la catalyse hétérogène,"1. Physisorption (approche des reactifs par interaction de VDW)
2. Chimisorption (liaison chimique avec le catalyseur)
3. Réaction
4. Désorption (inverse de la physisorption)"
